City/ Location,State,What was the event?,Who made the decision? (Name & title),Category,Date of event,Link to sources or more information ,Additional link,Additional link,"Your name & email or twitter handle to contact (optional, will be viewable by the public)",
Statewide,ND,"State tax deadline aligned with IRS, moved to July 15th, 2020",North Dakota Office of State Tax Commissioner Ryan Rauschenberger ,Not sure,4/15/2020,https://www.nd.gov/tax/covid-19-tax-guidance/,,,,
Statewide,SD,South Dakota State of Public Health Emergency,"SD Dept. of Public Health, Secr. Kim Malsom-Rysdon",Elected/public officials,4/10/2020,https://covid.sd.gov/docs/PublicHealthEmergency2020-01MinnehahaCounty.pdf,,,"Teddy Scheckel, tscheckel@wisc.edu",
Statewide,NH,Essential services that are open through May 4,Gov. Chris Sununu,Quarantines and forced closures,3/27/2020,https://patch.com/new-hampshire/concord-nh/nh-coronavirus-essential-services-whats-open-through-may-4,,,,
Statewide,ND,North Dakota's Smart Restart will go as planned if the number of Cornavirus cases remains low.,Gov. Doug Burgum,Quarantines and forced closures,4/16/2020,https://www.kvrr.com/2020/04/16/north-dakota-smart-restart-will-happen-if-numbers-remain-low/,,,,
Statewide,ND,Mini-grants available to fill indivdual and family needs such as for those with developmental disabilities,North Dakota Council on Developmental Disabilities,Not sure,4/9/2020,https://ndresponse.gov/news/council-developmental-disabilities-offers-mini-grants-fill-gaps-and-meet-individual-and-family,,,,
Statewide,ND,"Business restrictions extended until April 30th, in parallel with federal guidelines",Governer Doug Burgum,Quarantines and forced closures,4/15/2020,https://ndresponse.gov/news/burgum-extends-business-restrictions-10-days-outlines-path-forward-reopening,,,,
Statewide,SD,"Governor Noem asked schools to remain closed through May 1, 2020. During the closures, schools are asked to continue assisting their communities.",Governor Kristi Noem + SD Department of Education,Schools,3/24/2020,https://doe.sd.gov/coronavirus/,,,,
Statewide,NJ,Municipal court sessions will be suspended for two weeks,Chief Justice Stuart Rabner,Courts,3/14/2020,https://www.njcourts.gov/pressrel/2020/pr031420a.pdf?c=FD8,,,,
Statewide,NJ,Municipal court sessions are suspended for an additoinal 30 days,Supreme Court/Chief Justice Stuart Rabner,Courts,3/27/2020,https://www.njcourts.gov/pressrel/2020/pr032720a.pdf?c=kKm,,,,
Statewide,ND,"North Dakota business closures extend through April 30th. This includes: gyms, movie theaters, salons, barbers, body artists, and public access to state facilities.",Gov. Doug Burgum,Quarantines and forced closures,4/15/2020,https://bismarcktribune.com/news/local/health/gov-burgum-extends-north-dakota-business-closures-through-april-30/article_696b6983-257f-5e75-b801-360d5bfdf170.html,,,,
Statewide,NJ,All schools close indefinitely,Gov. Chris Murphy,Schools,3/18/2020,https://www.pix11.com/news/coronavirus/schools-closing-in-ny-nj-amid-spread-of-covid-19,https://www.nj.gov/governor/news/news/562020/20200316c.shtml,,,
Statewide,WI,Department of Health Services Guidance for Long Term Care Facilities ,WI Department of Health Services,Quarantines and forced closures,4/17/2020,https://www.dhs.wisconsin.gov/covid-19/ltc.htm,,,Brenda Kelley bjkelleylady@gmail.com,
Statewide,OH,The Ohio Health Modernization Movement (OHMM) sent letter requesting that non-violent individuals currently incarcerated and at risk of harm from COVID-19 should be released,Ohio Health Modernization Movement,Courts,4/6/2020,https://www.ohiohealthmm.org/ohmm-news/release-vulnerable-prisoners,,,,
Statewide,WI,"Community & Faith Based Guidance - all nonessential gatherings of 10 people or more must be canceled, postponed or closed statewide. Includes places of worship.  Other ways to worship included in these guidlines",Governor Tony Evers & Wisconsin Department of Health Services ,Quarantines and forced closures,4/17/2020,https://www.dhs.wisconsin.gov/covid-19/community.htm,,,Brenda Kelley bjkelleylady@gmail.com,
Statewide,OR,"Oregon announced plans to reopen that state based on scientific findings once adequate PPE is received. This will be more tenaciously pursued once testing has increased, tracing systems are introduced, and a quarantine and isolation program for new cases is established. ",Governor Kate Brown,Elected/public officials,4/14/2020,https://www.oregon.gov/newsroom/Pages/NewsDetail.aspx?newsid=36373,,,,
Statewide,ND,Number of North Dakotans filing fo unemployment benefits are the lowest its been in 3 weeks,"Manager of the Workforce Center in Fargo, ND Carey Fry",Not sure,4/16/2020,https://www.valleynewslive.com/content/news/Number-of-North-Dakotans-filing-for-unemployment-benefits-the-lowest-its-been-in-3-weeks-569711331.html,,,,
Statewide,NE,Governor Pete Ricketts on Monday rejected calls from two state senators to lift restrictions,Gov. Pete Ricketts,Quarantines and forced closures,4/13/2020,https://www.omaha.com/news/state_and_regional/ricketts-dismisses-calls-from-two-nebraska-state-senators-to-lift-coronavirus-restrictions/article_105d3cd4-2491-5e21-8c39-78d5ec4494b4.html,,,daniel@directactiontx.com,
Statewide,ND,North Dakota officials reveal a new mobile app that help with tracing COVID-19 tracking.,North Dakota Officials,Not sure,4/7/2020,https://bismarcktribune.com/news/local/health/officials-unveil-mobile-app-to-help-with-covid-19-contact-tracing-in-north-dakota/article_76e170b7-f68a-5797-b58b-640f2487956d.html,,,,
Statewide,NE,Gov. Pete Ricketts said federal rulings on abortions would have an impact on Nebraska's Directed Health Measures,Gov. Pete Ricketts,Courts,4/16/2020,https://nebraska.tv/news/coronavirus/gov-ricketts-federal-abortion-rulings-wont-impact-nebraska,,,daniel@directactiontx.com,
Statewide,HI,"Mandatory interisland self quarantine starting Apr. 1 lasting four days, interisland travellers must complete a destination form",Gov. David Ige,Quarantines and forced closures,4/1/2020,https://hidot.hawaii.gov/coronavirus/,https://governor.hawaii.gov/wp-content/uploads/2020/03/2003248-ATG_Fourth-Supplementary-Proclamation-for-COVID-19-distribution-signed.pdf,,,
Statewide,HI,"Unemployment claims rising, retail work, and transportation declining ",,Not sure,4/14/2020,https://dbedt.hawaii.gov/economic/covid19/,,,,
Statewide,HI,"Vote by mail extended to May 22, in person voting cancelled, party convention moved to September 5 & 6",Hawaii Democratic Party,Elections,,https://frontloading.blogspot.com/p/2020-presidential-primary-calendar.html,https://abcnews.go.com/Politics/states-shelve-primary-contests-now-coronavirus-shuffles-2020/story?id=69713829,https://www.civilbeat.org/beat/walk-in-voting-canceled-for-hawaii-democratic-primary/,,
Statewide,HI,Hawai'i uses Ranked-Choice Voting for primary election,Hawaii Democratic Party,Elections,,https://www.fairvote.org/hawaiircv2020,,,,
Statewide,HI,"Hawai'i schools remain closed for 2 weeks longer, 'Iolani Schools suspend all on-campus activity",Gov. David Ige,Schools,3/16/2020,https://www.staradvertiser.com/2020/03/16/hawaii-news/school-closures-extended/,,,,
Statewide,HI,"University of Hawai'i campuses closed, transition to online courses",President David Lassner and Board of Regents,Quarantines and forced closures,,https://www.kauai.hawaii.edu/coronavirus,,,,
Statewide,HI,"Supreme Court allows inmates' release on case basis, release/modification of must be filed by Monday",Special Master Daniel Foley,Courts,4/16/2020,https://www.kauai.hawaii.edu/coronavirus,,,,
Statewide,IL,Statewide schooling canceled for the rest of the year,Gov. JB Pritzker,Elected/public officials,4/17/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200417-bwjw57sdwbfkxo45oth2avi4ce-story.html,,,,
Statewide,SC,Many non-essential businesses and beaches to reopen effective immediately,Gov. Henry McMaster,Quarantines and forced closures,4/20/2020,https://www.nbcnews.com/health/health-news/live-blog/2020-04-20-coronavirus-news-n1187556,,,,
Statewide,GA,State will begin reopening non-essential businesses April 24,Gov. Brian Kemp,Quarantines and forced closures,4/20/2020,https://www.nbcnews.com/health/health-news/live-blog/2020-04-20-coronavirus-news-n1187556,,,,
Statewide,TN,Many businesses repopening May 1,Gov. Bill Lee,Quarantines and forced closures,4/20/2020,https://www.nbcnews.com/health/health-news/live-blog/2020-04-20-coronavirus-news-n1187556,,,,
Statewide,IL,Federal judge rules green and libertarian candidates may be on the November 3 general ballot without gathering sufficient signatures due to social distancing guidelines,U.S. District Judge Rebecca Pallmeyer,Ballot measures,4/23/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200423-bknbhl7odbf7pd57ecja2exd2i-story.html,,,,
Statewide,IL,Hospitals will be allowed to continue with some elective surgeries starting May 1,Gov. JB Pritzker,Elected/public officials,4/23/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200423-bknbhl7odbf7pd57ecja2exd2i-story.html,,,,
Statewide,IL,"Extension of a modified stay at home order starting May 1, which will include required face coverings, required facecoverings for essential employees, and regulated reopening of non-essential business and state parks",Gov. JB Pritzker,Elected/public officials,4/23/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200423-bknbhl7odbf7pd57ecja2exd2i-story.html,,,,
Statewide,MA,All non-emergency childcare facilties are ordered to stay closed through June,Gov. Charlie Baker,Quarantines and forced closures,4/21/2020,https://www.mass.gov/doc/april-21-2020-childcare-programs-closure-extension,,,,
Statewide,TX,"Gov. Abbott announced that state troopers will now patrol highway entry points at the Louisiana border and require ""everyone stopped"" to self-isolate",Gov. Greg Abbott,Not sure,3/30/2020,https://cbsaustin.com/news/local/texas-tightens-rules-on-travelers-from-louisiana-over-covid-19,,,,
Statewide,IL,Executive order that waives certain Illinois School Code requirements for high school graduation ,Gov. JB Pritzker,Schools,4/24/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200424-he6o6lsnyjgjrf3eajm7iqoyoa-story.html,,,,
Statewide,MI,Stay at home order extended until May 15,Gov. Gretchen Whitmer,Quarantines and forced closures,4/24/2020,https://abcnews.go.com/Health/coronavirus-updates-china-reports-covid-19-deaths-9th/story?id=70324535,,,,
Statewide,VA,Extension of ban on elective surgeries until May 1 and extension of closure of state DMVs until May 11,Gov. Graham Norton,Quarantines and forced closures,4/23/2020,https://www.cnn.com/us/live-news/us-coronavirus-update-04-23-20/h_98685698e1c788d7ac32e31470d60611,,,,
Statewide,NC,Stay at home order extended until May 8,Gov. Roy Cooper,Quarantines and forced closures,4/23/2020,https://www.cnn.com/us/live-news/us-coronavirus-update-04-23-20/h_6253a44546ff584fee06e514f400c2e3,,,,
Statewide,CA,A freeze on issuing permits for protests and large gatherings,California Highway Patrol,Not sure,4/23/2020,https://www.cnn.com/us/live-news/us-coronavirus-update-04-23-20/h_cabdb503d978aefb9d9dca02feee9750,,,,
Statewide,CO,"All ""critical employees"" required to wear masks and gloves",Colorado Department of Public Health,Not sure,4/23/2020,https://www.cnn.com/us/live-news/us-coronavirus-update-04-23-20/h_0b6392f0114338d3b7a0b29ade7f0aab,,,,
Statewide Indiana,IN,Indiana State to receive $668 million in payments for medical providers and health systems from the CARE Act,President Trump,Elected/public officials,4/12/2020,https://www.batesvilleheraldtribune.com/news/local_news/668-million-earmarked-for-indiana-hospitals-and-providers/article_0ece58e8-7cdd-11ea-bcd4-fb7dd01b8e5d.html,,,,
Statewide WI,WI,"Wisconsin Crosses 4000 Covid-19 cases, 200 deaths.  Appears to be slowing rate of infection.  Initially doubling every 3-4 days.  Now every 12 days.  Complete data by county in this article.",From 2 First Alert W.Bay.com,Quarantines and forced closures,4/17/2020,https://www.wbay.com/content/news/Wisconsin-crosses-4000-COVID-19-cases-200-deaths-569734301.html?ref=301,,,,
Sun City West,AR,Closure of Golf Courses completes closure of all Rec Center facilities,SUn City Rec Centers Manager Bill Schwind,Quarantines and forced closures,4/13/20,https://suncitywest.com/covid19/,,,,
Sunnyvale,CA,The City of Sunnyvale has declared a local state of emergency and is suspending all but essential services,City of Sunnyvale,Quarantines and forced closures,4/14/2020,https://sunnyvale.ca.gov/news/topics/coronavirus.htm,,,,
Taos County,NM,Taos County Sheriff’s Office putting up checkpoints for visitors,Taos County Sheriff’s Office,Quarantines and forced closures,4/16/2020,https://www.krqe.com/health/coronavirus-new-mexico/taos-county-sheriffs-office-putting-checkpoints-for-visitors/,,,,
Taylorsville,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Toledo,OH,School closures extended until May 15,Gov. Chris Murphy,Schools,4/16/2020,https://6abc.com/health/new-jersey-schools-to-remain-closed-through-at-least-may-15-/6107629/,,,,
Toledo,OH,May 2020 Commencement Ceremony cancelled. Graduates invited to walk in the Winter 2020 ceremony.,University of Toledo,Schools,3/17/2020,https://www.wtol.com/article/news/health/coronavirus/what-has-been-affected-by-coronavirus/512-77f2e0ed-9a7c-4985-a423-e4aa02b4f36f,,,,
Toledo,OH,"The Toledo Museum of Art has extended its temporary closure to the public through Thursday, April 30.",Toledo Museum of Art,Quarantines and forced closures,3/30/2020,https://www.toledomuseum.org/coronavirus,,,,
Trenton,NJ,Trenton Public Schools close ,"Ronald C. Lee, Interim Superintendent",Schools,3/16/2020,https://www.pix11.com/news/coronavirus/schools-closing-in-ny-nj-amid-spread-of-covid-19,https://www.facebook.com/trenton.k12.nj.us/photos/pcb.2898863173538019/2898861376871532/?type=3&theater,https://www.facebook.com/trenton.k12.nj.us/photos/a.564662026958157/2875998639157806/?type=3&theater,,
Tucson,AZ,"Temporary closure of all ""non-essential"" services in Tucson",Mayor Regina Romero,Quarantines and forced closures,3/28/2020,https://tucson.com/news/local/tucson-mayor-orders-closure-of-non-essential-services-due-to/article_99c666ae-7083-11ea-b2e3-1bd2589cb585.html,,,,
Tupelo,MS,"Tupelo eliminated travel for government workers, stops the purchase of government vehicles, and not filling vacant city jobs ",Mayor Jason Shelton ,Elected/public officials,4/19/2020,https://www.charlotteobserver.com/news/article242101586.html,,,,
Tuskaloosa County,AL,"Restaurants not allowed to serve in premises. Private and pre-schools closed. Senior Centers not allowed to have gatherings, All gatherings >25 people banned. Nursing homes not allowed to have visitors",Alabama Department of Public Health,Quarantines and forced closures,3/17/2020,https://www.tuscaloosa.com/posts/2020/03/17/alabama-department-of-public-health-order-regarding-covid-19,,,JAR,
Two Rivers School District,VT,Six schools in the Two Rivers Supervisory Union will be closed beginning Monday,Superintndent Meg Alison Powden,Quarantines and forced closures,3/15/2020,https://www.sevendaysvt.com/OffMessage/archives/2020/03/29/the-latest-updates-on-coronavirus-in-vermont?cb=1585604537&page=3,,,David Blatt,
USD,SD,The University of South Dakota will continue remote delivery through the summer academic term,South Dakota Board of Regents,Schools,4/6/2020,https://www.usd.edu/covid19,,,,
various counties,GA,Libraries closed,,Quarantines and forced closures,,https://georgialibraries.org/coronavirusupdate/,,,,
Ventura County ,CA,Ventura County extended and modified stay-at-home order.  Effective 4/20 - 5/15,"Robert Levin, Ventura County Health Officer",Quarantines and forced closures,4/20/2020,https://static1.squarespace.com/static/5e7118df53442b573096612c/t/5ea0d9677994eb2989a71ce1/1587599723496/April+20+Order.pdf,,,,
Vermillion,SD,"Most non-essential businesses closed for 60 days. Any place that offers on-site consumption must close, but can provide sales/curbside/delivery.",Vermillion City Council,Quarantines and forced closures,3/30/2020,https://www.plaintalk.net/local_news/article_215b936a-72db-11ea-a84f-437368ec6178.html,,,S,
Wake County,NC,stay-at-home order extended through April 30,county board of commissioners,Quarantines and forced closures,4/16/2020,https://www.newsobserver.com/news/coronavirus/article242049951.html?,https://k12nie.com/parents/?ac_cid=DM175909&ac_bid=504715448,,pegohara202@gmail.com,
Walker County,AL,"Restaurants not allowed to serve in premises. Private and pre-schools closed. Senior Centers not allowed to have gatherings, All gatherings >25 people banned. Nursing homes not allowed to have visitors",Alabama Department of Public Health,Quarantines and forced closures,3/17/2020,https://www.tuscaloosa.com/posts/2020/03/17/alabama-department-of-public-health-order-regarding-covid-19,,,JAR,
Walnut Creek,CA,Walnut Creek School District announces closure of schools for the remainder of the 2019-2020 school year,Walnut Creek School District,Elected/public officials,4/7/2020,,,,,
Washington,WA,Small businesses in all Washington counties are now eligible to apply for low‑interest U.S. Small Business Administration (SBA) Economic Injury Disaster Loans.,Small Business Administration,Not sure,4/1/2020,https://www.business.wa.gov/site/alias__business/resources-for-wa-state-businesses---workers-impacted-by-covid-19/1561/default.aspx,,,INT,
Washington DC,DC,Microgrant program started,Mayor Muriel Bowser,Not sure,4/1/2020,https://coronavirus.dc.gov/dc-small-business-recovery-grants,,,INT,
Watauga County/Boone,NC,Watauga County Board of Commissioners,AppHealthCare Health Director Jennifer Greene,Quarantines and forced closures,4/7/2020,https://www.wataugademocrat.com/covid19/social-distancing-urged-as-officials-plan-for-covid-19-peak-in-nc/article_c3d968e8-a7c0-51c3-a15f-bd05ebfae715.html,https://www.unacast.com/covid19/social-distancing-scoreboard[object%20Object][object%20Object],,gwilly56@mac.com,
Watertown,SD,Ordinance 20-14. Mayor Sarah Caron and Watertown City Council have declared a public health emergency in the City of Watertown. Closure of certain businesses,"Sarah Caron, Mayor of Watertown",Quarantines and forced closures,3/26/2020,https://www.watertownsd.us/DocumentCenter/View/5079/signed-ordinance?bidId=,,,,
Watertown ,SD,"Closures/Postponed: Free residential landfill disposal,
4th Avenue S.W. Spring Yard Waste Site,
City Wide Clean-up, Household Hazardous Waste Event",Watertown City Council,Quarantines and forced closures,,https://www.watertownsd.us/975/Cancellations,,,,
Watuaga County/Boone,NC,guidance for use of cloth masks or face coverings by the general public,"AppHealthCare, the regional health department, and Appalachian Regional Healthcare System",Not sure,4/6/2020,https://www.wataugademocrat.com/covid19/apphealthcare-arhs-share-guidance-on-cloth-masks-face-coverings/article_cdb02a4e-41cd-55c5-a7cd-a3a9ed9768df.html,,,gwilly56@mac.com,
Wellfleet,MA,Compliance with State orders related to number of people in grocery stores (<40% max occupancy; exempt stores <25 occupancy),Wellfleet Township,Quarantines and forced closures,4/7/2020,https://www.wellfleet-ma.gov/coronavirus,https://www.wellfleet-ma.gov/home/coronavirus/pages/news-releases,,Robert Locke,
Wellfleet,MA,"Covid-19 Town Taskforce and Community Meetings: ""The Wellfleet COVID-19 Needs Response Task Force will host community information calls on the 1st and 3rd Fridays of the month at 10AM. Members of this team include staff and volunteers from Outer Cape Health, Lower Cape Outreach Council, Common Table, and other local partners who are providing assistance to residents during this time. They will discuss resources that are available to Wellfleet residents to help get through this time – including food procurement, mental health resources, and health and wellness.The call is held via Zoom Video Conference...""",Wellfleet Township,Elected/public officials,4/15/2020,https://www.wellfleet-ma.gov/coronavirus,https://www.wellfleet-ma.gov/home/covid-19-information/pages/wellfleet-covid-19-needs-response-task-force-community-calls,,Robert Locke,
Wellfleet,MA,Restrictions: Township Bldg to open May 4th. Shelter in place through May 2nd. Recreation/parks closed through May 1st. No trashcans or public restrooms available due to lack of township ability to maintain. Beaches: need to keep 6ft distance. Out-of-town should quarantine for 14days and will receive notice on their car windows.,Wellfleet Township,Quarantines and forced closures,4/1/2020,https://www.wellfleet-ma.gov/home/coronavirus/pages/selectboard-declaration-of-emergency,https://www.wellfleet-ma.gov/sites/wellfleetma/files/uploads/response_to_covid-19_state_of_emergency.pdf,,Robert Locke,
Wendell,MA,"Tax delays by City Council:  For excise, real estate and property taxes that were due after 3/10/20, these are delayed until 6/1/20 without interest or penalty",Wendell City Council,Not sure,4/11/2020,https://www.wendellmass.us/taxes/tax-collector/945-important-information-regarding-your-tax-bill.html,,,Robert Locke,
Wendell,MA,WRATS: starting 4/18/20 the recycling and waste transfer station will be turning away individuals that are not wearing a face mask,Wendell City Council,Quarantines and forced closures,4/11/2020,https://www.wendellmass.us/governance/wrats/944-going-to-wrats-please-wear-a-mask.html,,,Robert Locke,
Wendell,MA,Township delays local voting from 5/4/20 to 6/1/20. Encourages everyone to vote by mail-in ballot,Wendell City Council,Quarantines and forced closures,4/11/2020,https://www.wendellmass.us/governance/town-clerk/943-important-changes-to-local-elections.html,,,,
Wenham,MA,Starting 4/17/20: Township mandates face mask covering in the following circumstances: (1) public must wear when entering essential business; (2) essential business workers must wear when interacting with the public; (3) when leaving/entering a residence with more than 1 unit,Wendell Township Board of Health,Quarantines and forced closures,4/15/2020,https://www.wenhamma.gov/Wenham%20BOH%20Face%20Covering%20Order%20-%20FINAL.pdf,,,Robert Locke,
West Boylston,MA,Township closed 3/25/20. 4/1/Board of Health meeting open to public by Zoom.  April 3rd: Fishing Season Delayed. April 7th Closure of West Boylston section of Rail Trail. Township Administrator is providing intermittent update notices on website of local Covid-19 cases and occasional other info by website linkage: Example https://www.westboylston-ma.gov/sites/westboylstonma/files/news/april_16_2020_update.pdf,West Boylston Township,Quarantines and forced closures,4/17/2020,https://www.westboylston-ma.gov/sites/westboylstonma/files/news/town_of_west_boylston_coronavirus_covid-19_update_-_march_25_2020_002.pdf,https://www.westboylston-ma.gov/node/211/news,https://www.westboylston-ma.gov/home/news/temporary-closure-west-boylston-section-rail-trail,Robert Locke,
West Bridgeport,MA,Township and services except Meals on Wheels remain closed. Office on Aging available by phone. No projected reopening date. ,West Bridgeport Township,Quarantines and forced closures,4/16/2020,https://coronavirus-response-west-bridgewater-ma-westbridgewater.hub.arcgis.com/,,,Robert Locke,
West Bridgeport,MA,Dept of Health encourages local residents testing positive report themselves through an on-line form. Not clear from township information what privacy protections are maintained for individuals who self-report positive testing.,West Bridgeport Township,Not sure,4/16/2020,https://www.westbridgewaterma.org/government/board_of_health/coronavirus_informational_page/reporting.php,,,Robert Locke,
West Brookfield,MA,"No specific additional local restrictions above general MA state orders from 3/25 and subsequent. Govt offices open by phone, closed in person except senior center is staffed. No info on delay in taxes or specific local help to local businesses or citizens above general MA state activities. Local businesses that are open are listed on the township's webpage.",West Brookfield Township,Quarantines and forced closures,4/8/2020,https://www.wbrookfield.com/vertical/sites/%7BB56533C2-1DA3-4729-9D48-8DC44122BE48%7D/uploads/Board_of_Health_-_1(1).pdf,https://www.wbrookfield.com/index.asp?SEC=C282290C-C4F7-4A2C-AC8B-2E83BA276176,,Robert Locke,
West Jordan,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
West Memphis,AK,a nighttime curfew and a “voluntary” stay-at-home order that strongly encourages residents to avoid leaving the house for anything other than work or essential needs.,Mayor Marco McClendon,Not sure,,https://katv.com/news/local/west-memphis-mayor-has-blunt-message-for-residents-on-distancing,,,,
West Newbury,MA,"Local tax collection delayed until 6/1/20 and waiver of interest until 6/30/20. Community litter clean-up for Earth Day is not canceled. Physical distancing, face masks and general hygeine encouraged. No specific info on elections. No specific info on local inititatives for business or township residence economic assistance. Township website makes specific mention of mental health concerns and linkage to contact public health nurse for assistance if needed. No additional local restrictions above general MA state mandates.",West Newbury Township,Not sure,4/15/2020,https://www.wnewbury.org/home/news/west-newbury-board-health-%E2%80%93-covid-19-update-4,https://www.wnewbury.org/home/news/town-wide-roadside-cleanup,https://www.wnewbury.org/home/news/important-information-regarding-your-tax-bill,Robert Locke,
West Valley City,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Westport,MA,"Facecoverings required in public places, violation can lead to $250 fine",Westport Board of Health,Quarantines and forced closures,4/20/2020,https://www.boston.com/news/local-news/2020/04/20/latest-news-live-updates-outbreak-covid-19-massachusetts-new-england,,,,
White City,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Whitefish,MO,"bans nonessential hotel, motel, short-term rentals through April 30","John M. Mulfeld, Mayor",Quarantines and forced closures,4/7/2020,https://www.scribd.com/document/455107157/Whitefish-Proposed-Emergency-Order#fullscreen&from_embed,,,LTV,
Whole State,MO,National Guard activated for COVID-19 response,Gov. Steve Bullock,Elected/public officials,4/1/2020,https://www.ktvq.com/news/montana-news/73-montana-national-guard-soldiers-and-airmen-activated-for-covid-19-response,,,,
WI Statewide,WI,"Governor's Complete Extension of Stay at Home Order in State of Wisconsin Bulletin, 4/16/2020",Governor Tony Evers,Quarantines and forced closures,416/2020,https://content.govdelivery.com/accounts/WIGOV/bulletins/286d626,,,Brenda Kelley bjkelleylady@gmail.com,
Wichita,KS,"A 30-day stay-at-home order, beginning Wednesday March 25. Essential errands are permitted as are walks that maintain sufficient distance from others. Certain businesses and services (a list of 26) are exempt.","Sedgwick County’s health officer, Dr. Garold Minns",Quarantines and forced closures,3/24/2020,https://www.kmuw.org/post/sedgwick-county-says-stay-home,,,INT,
Winnebago,NE,Winnebago Tribe passes curfew to curb coronavirus,Tribe Council,Quarantines and forced closures,4/16/2020,https://siouxcityjournal.com/news/local/state-and-regional/winnebago-tribe-passes-curfew-to-curb-coronavirus/article_2b802074-13aa-56bd-8052-f7f75c28d809.html,,,,
Wisconsin,WI,WEDC announces targeted grants to small businesses suffering losses due to coronavirus emergency,Wisconsin Economic Development Corporation,Not sure,3/18/2020,https://wedc.org/blog/wedc-announces-targeted-grants-to-small-businesses-suffering-losses-due-to-coronavirus-emergency/,,,INT,
Worcester,MA,Playground Equipment and Basketball Courts are blocked off,City of Worcester,Quarantines and forced closures,3/31/2020,https://whdh.com/news/massachusetts-cities-implementing-new-measures-to-prevent-gatherings-at-parks-during-coronavirus-outbreak/,,,INT,
York,PA,City of York Sewer Amnesty program temporarily suspended; property tax bonus period extended.,Mayor Michael Helfrich,Quarantines and forced closures,3/17/2020,https://www.yorkcity.org/city-of-york-announces-change-of-operations-due-to-coronavirus/,,,,
Youngstown,OH,All trash bins need to be placed on the curb for disposal,City of Youngstown,Not sure,3/23/2020,,,,,
Youngstown,OH,Municipal Courts operating under modified hours with modified operations until further notice,Youngstown Municipal Court,Courts,3/23/2020,https://youngstownohio.gov/sites/default/files/notices/REVISED%20PRESS%20RELEASE%20-%20MODIFIED%20SCHEDULE.pdf,,,,
Zanesville,OH,"Effective, Friday, April 17, patients and visitors entering Genesis Health facilities are required to wear a mask","Jeff Jadwin, Director, Muskingum County Emergency Management Agency",Not sure,4/17/2020,http://www.zmchd.org/wp-content/uploads/2020/04/MC-COVID-19-Update-4-17-20.pdf,,,,
,GA,Department of Revenue temporarily suspending in-person services. Tax filing and payment deadline extended to July 15,GA Dept of Revenue,Not sure,3/23/2020,https://georgia.gov/covid-19-state-services-georgia/covid-19-taxes,https://www.ajc.com/news/state--regional-govt--politics/georgia-like-feds-will-move-tax-day-from-april-july/jjYrFFntaF7l76zNWIGA0I/,,,
Lansing,MI,Gov. Whitmer urged coronavirus tests for all key workers. Don’t bank on it,Gov. Gretchen Whitmer,Not sure,4/27/2020,https://www.bridgemi.com/michigan-health-watch/gov-whitmer-urged-coronavirus-tests-all-key-workers-dont-bank-it?utm_source=Bridge+Magazine&utm_campaign=c3e5a591d0-Bridge+Newsletter+04%2F29%2F2020&utm_medium=email&utm_term=0_c64a28dd5a-c3e5a591d0-73906469,,,,
Lansing,MI,"Gov. Whitmer to restart Michigan economy by regions, types of workplaces",Gov. Gretchen Whitmer,Quarantines and forced closures,4/28/2020,https://www.bridgemi.com/michigan-government/gov-whitmer-restart-michigan-economy-regions-types-workplaces?utm_source=Bridge+Magazine&utm_campaign=4d15a51795-Bridge+Newsletter+04%2F28%2F2020&utm_medium=email&utm_term=0_c64a28dd5a-4d15a51795-73906469,,,,
Lansing,MI,Michigan Gov. Gretchen Whitmer wants 28-day extension of emergency powers,Gov. Gretchen Whitmer,Quarantines and forced closures,4/28/2020,https://www.bridgemi.com/michigan-government/michigan-gov-gretchen-whitmer-wants-28-day-extension-emergency-powers?utm_source=Bridge+Magazine&utm_campaign=4d15a51795-Bridge+Newsletter+04%2F28%2F2020&utm_medium=email&utm_term=0_c64a28dd5a-4d15a51795-73906469,,,,
Statewide,NE,Governor declares state of emergency ,Gov. Pete Ricketts,Not sure,3/13/2020,https://governor.nebraska.gov/press/gov-ricketts-issues-emergency-declaration-covid-19,,,INT,
,NC,,,,,,,,,
Lansing,MI,Opinion: Share the data: Informed citizens make Michigan stronger,,Not sure,4/30/2020,https://www.detroitnews.com/story/opinion/2020/04/30/opinion-share-data-informed-citizens-make-michigan-stronger/3048587001/,,,,
